Time (s)	Position (m)
5.160000	-0.125037
5.170000	-0.126444
5.180000	-0.127843
5.190000	-0.129233
5.200000	-0.130614
5.210000	-0.131987
5.220000	-0.133351
5.230000	-0.134707
5.240000	-0.136054
5.250000	-0.137392
5.260000	-0.138722
5.270000	-0.140043
5.280000	-0.141356
5.290000	-0.142660
5.300000	-0.143955
5.310000	-0.145242
5.320000	-0.146520
5.330000	-0.147789
5.340000	-0.149050
5.350000	-0.150303
5.360000	-0.151546
5.370000	-0.152781
5.380000	-0.154008
5.390000	-0.155226
5.400000	-0.156435
5.410000	-0.157636
5.420000	-0.158829
5.430000	-0.160012
5.440000	-0.161188
5.450000	-0.162354
5.460000	-0.163512
5.470000	-0.164662
5.480000	-0.165803
5.490000	-0.166936
5.500000	-0.168060
5.510000	-0.169175
5.520000	-0.170282
5.530000	-0.171381
5.540000	-0.172471
5.550000	-0.173553
5.560000	-0.174626
5.570000	-0.175690
5.580000	-0.176747
5.590000	-0.177794
5.600000	-0.178834
5.610000	-0.179865
5.620000	-0.180887
5.630000	-0.181901
5.640000	-0.182907
5.650000	-0.183904
5.660000	-0.184893
5.670000	-0.185874
5.680000	-0.186846
5.690000	-0.187810
5.700000	-0.188766
5.710000	-0.189713
5.720000	-0.190652
5.730000	-0.191582
5.740000	-0.192504
5.750000	-0.193418
5.760000	-0.194324
5.770000	-0.195222
5.780000	-0.196111
5.790000	-0.196992
5.800000	-0.197864
5.810000	-0.198729
5.820000	-0.199585
5.830000	-0.200433
5.840000	-0.201273
5.850000	-0.202105
5.860000	-0.202929
5.870000	-0.203744
5.880000	-0.204551
5.890000	-0.205351
5.900000	-0.206142
5.910000	-0.206925
5.920000	-0.207700
5.930000	-0.208466
5.940000	-0.209225
5.950000	-0.209976
5.960000	-0.210719
5.970000	-0.211453
5.980000	-0.212180
5.990000	-0.212899
6.000000	-0.213610
6.010000	-0.214313
6.020000	-0.215007
6.030000	-0.215694
6.040000	-0.216373
6.050000	-0.217045
6.060000	-0.217708
6.070000	-0.218363
6.080000	-0.219011
6.090000	-0.219651
6.100000	-0.220283
6.110000	-0.220907
6.120000	-0.221523
6.130000	-0.222132
6.140000	-0.222733
6.150000	-0.223326
6.160000	-0.223911
6.170000	-0.224489
6.180000	-0.225059
6.190000	-0.225621
6.200000	-0.226176
6.210000	-0.226723
6.220000	-0.227262
6.230000	-0.227794
6.240000	-0.228318
6.250000	-0.228835
6.260000	-0.229344
6.270000	-0.229846
6.280000	-0.230340
6.290000	-0.230826
6.300000	-0.231305
6.310000	-0.231777
6.320000	-0.232241
6.330000	-0.232698
6.340000	-0.233148
6.350000	-0.233590
6.360000	-0.234024
6.370000	-0.234452
