Time (s)	Position (m)
5.790000	-0.195096
5.800000	-0.195960
5.810000	-0.196816
5.820000	-0.197663
5.830000	-0.198503
5.840000	-0.199334
5.850000	-0.200158
5.860000	-0.200973
5.870000	-0.201780
5.880000	-0.202579
5.890000	-0.203370
5.900000	-0.204153
5.910000	-0.204928
5.920000	-0.205695
5.930000	-0.206454
5.940000	-0.207205
5.950000	-0.207948
5.960000	-0.208683
5.970000	-0.209410
5.980000	-0.210129
5.990000	-0.210840
6.000000	-0.211543
6.010000	-0.212238
6.020000	-0.212926
6.030000	-0.213606
6.040000	-0.214277
6.050000	-0.214941
6.060000	-0.215597
6.070000	-0.216246
6.080000	-0.216886
6.090000	-0.217519
6.100000	-0.218144
6.110000	-0.218761
6.120000	-0.219371
6.130000	-0.219973
6.140000	-0.220567
6.150000	-0.221154
6.160000	-0.221733
6.170000	-0.222304
6.180000	-0.222867
6.190000	-0.223423
6.200000	-0.223972
6.210000	-0.224513
6.220000	-0.225046
6.230000	-0.225572
6.240000	-0.226090
6.250000	-0.226601
6.260000	-0.227104
6.270000	-0.227600
6.280000	-0.228088
6.290000	-0.228569
6.300000	-0.229043
6.310000	-0.229509
6.320000	-0.229968
6.330000	-0.230419
6.340000	-0.230863
6.350000	-0.231300
6.360000	-0.231729
6.370000	-0.232151
6.380000	-0.232566
6.390000	-0.232974
6.400000	-0.233374
6.410000	-0.233768
6.420000	-0.234154
6.430000	-0.234533
6.440000	-0.234904
6.450000	-0.235269
6.460000	-0.235627
6.470000	-0.235977
6.480000	-0.236320
6.490000	-0.236657
6.500000	-0.236986
6.510000	-0.237308
6.520000	-0.237624
6.530000	-0.237932
6.540000	-0.238233
6.550000	-0.238528
6.560000	-0.238816
6.570000	-0.239096
6.580000	-0.239370
6.590000	-0.239637
6.600000	-0.239897
6.610000	-0.240151
6.620000	-0.240397
6.630000	-0.240637
6.640000	-0.240870
6.650000	-0.241097
6.660000	-0.241316
6.670000	-0.241529
6.680000	-0.241736
6.690000	-0.241936
6.700000	-0.242129
6.710000	-0.242315
6.720000	-0.242495
6.730000	-0.242669
6.740000	-0.242836
6.750000	-0.242996
6.760000	-0.243150
6.770000	-0.243298
6.780000	-0.243439
6.790000	-0.243574
6.800000	-0.243702
6.810000	-0.243824
6.820000	-0.243939
6.830000	-0.244049
6.840000	-0.244152
6.850000	-0.244248
6.860000	-0.244339
6.870000	-0.244423
6.880000	-0.244501
6.890000	-0.244573
6.900000	-0.244639
6.910000	-0.244698
6.920000	-0.244752
6.930000	-0.244799
6.940000	-0.244841
6.950000	-0.244876
6.960000	-0.244905
6.970000	-0.244928
6.980000	-0.244946
6.990000	-0.244957
7.000000	-0.244962
7.010000	-0.244962
7.020000	-0.244956
7.030000	-0.244943
7.040000	-0.244925
7.050000	-0.244901
7.060000	-0.244872
7.070000	-0.244836
7.080000	-0.244795
7.090000	-0.244748
7.100000	-0.244696
7.110000	-0.244638
7.120000	-0.244574
7.130000	-0.244505
7.140000	-0.244430
